id	set_id	number	type	section_id	text	option1	option2	option3	option4	points	answer
q1	A	1	MC	sec1	학부모가 입회 상담 중 "깨봉수학은 다른 수학 학원과 뭐가 다른가요?"라고 질문했습니다. 깨봉수학의 교육 철학에 가장 부합하는 답변은?	① 깨봉수학은 연산 반복 훈련을 통해 계산 속도를 높이는 프로그램입니다	② 깨봉수학은 시각화를 통해 개념의 본질을 이해하게 하여, 스스로 문제를 해결하는 힘을 키웁니다	③ 깨봉수학은 선행학습에 특화된 속진형 프로그램입니다	④ 깨봉수학은 AI가 자동으로 문제를 풀어주는 최신 시스템입니다	2	②
q2	A	2	MC	sec1	원생이 문제를 풀다가 "이거 어떻게 풀어요? 답 좀 알려주세요"라고 합니다. 깨봉 코칭 3단계 원리에 따른 가장 적절한 첫 번째 대응은?	① "정답은 3이야. 다음 문제 풀어봐."	② "교재 몇 페이지에 공식이 있으니 찾아서 풀어봐."	③ "이 문제에서 어떤 부분이 어려운 것 같아?" 라고 방향 질문을 한다	④ "이건 어려운 문제니까 넘어가고 다음 문제부터 풀자."	2	③
q3	A	3	MC	sec1	깨봉수학이 강조하는 '수학적 사고 3가지 역량' 중 '무시(추상화)'에 해당하는 사례로 가장 적절한 것은?	① 분수의 크기를 비교할 때 분모와 분자의 관계를 파악하는 것	② 도형의 넓이를 구할 때 불필요한 정보를 제거하고 핵심 구조만 보는 것	③ 함수 그래프에서 x값 변화에 따른 y값 변화를 추적하는 것	④ 덧셈의 결과를 뺄셈으로 검증하는 것	2	②
q4	A	4	MC	sec1	깨봉수학이 궁극적으로 지향하는 '문제 해결력 레벨 3(진짜수학)'에 해당하는 학생의 모습은?	① 공식을 정확히 외워서 유형별로 빠르게 답을 구한다	② 많은 유형의 문제를 반복 학습하여 패턴을 인식한다	③ 처음 보는 문제에서도 개념의 본질을 파악하여 스스로 풀이 방법을 만들어낸다	④ 선생님이 알려준 풀이 방법을 정확히 재현한다	2	③
q5	A	5	MC	sec1	러닝센터 튜터 중 수학 전공자 비율은 약 16%에 불과합니다. 이 사실이 깨봉수학 교육 모델에서 문제가 되지 않는 이유로 가장 적절한 것은?	① 튜터가 수학을 직접 강의하지 않고, 콘텐츠가 개념 설명을 담당하기 때문이다	② 비전공자도 충분한 수학 실력을 갖추고 있기 때문이다	③ 원생들이 자습으로 학습하므로 튜터의 역할이 크지 않기 때문이다	④ 수학 전공이 아니어도 공식 암기 지도는 가능하기 때문이다	2	①
q6	A	6	OX	sec1	깨봉수학의 교수법 3원리는 '시각화(Visualize), 언어화(Linguistic), 직관→논리(Intuition & Logic)'이다.	O	X			1	O
q7	A	7	OX	sec1	깨봉수학에서 '변화'는 수학적 사고 3가지 역량 중 하나로, 수의 변화와 규칙을 발견하는 능력을 의미한다.	O	X			1	O
q8	A	8	ESSAY	sec1	코칭 3단계(방향 질문 → 연결 질문 → 확인 질문)를 활용하여, 원생이 "분수의 나눗셈은 왜 뒤집어서 곱하는 거예요?"라고 질문했을 때의 코칭 대화 예시를 3단계로 작성하시오. (10점)					3	채점대기
q9	A	9	ESSAY	sec1	깨봉수학이 '시각화'를 교수법의 핵심 원리로 삼는 이유를 수학 교육 시장의 문제점과 연결하여 설명하시오. (10점)					3	채점대기
q10	A	10	ESSAY	sec1	'레벨 1(가짜수학)', '레벨 2(AI 수준)', '레벨 3(진짜수학)'의 차이를 각각 한 줄로 설명하고, 깨봉수학이 레벨 3을 지향하는 이유를 서술하시오. (10점)					3	채점대기
q11	A	11	MC	sec2	깨봉수학 커리큘럼의 3단계를 올바르게 나열한 것은?	① BASIC → STANDARD → PREMIUM	② CORE → ADVANCED → ELITE	③ STARTER → GROWTH → MASTER	④ LEVEL 1 → LEVEL 2 → LEVEL 3	2	②
q12	A	12	MC	sec2	코어 과정의 수업 프로세스에 대한 설명으로 올바른 것은?	① 코어 A~E 과정 모두 체크업북과 워크북을 사용한다	② 코어 A~C는 체크업북과 워크북을 모두 사용하고, D~E는 체크업북 없이 워크북만 사용한다	③ 코어 A~C는 워크북만 사용하고, D~E는 체크업북만 사용한다	④ 코어 전 과정에서 체크업북만 사용하고 워크북은 사용하지 않는다	2	②
q13	A	13	MC	sec2	어드밴스드/엘리트 과정에 대한 설명으로 틀린 것은?	① 체크업북을 사용하고 워크북은 사용하지 않는다	② 복습 문제 풀기 활동이 수업 프로세스에 포함된다	③ 실전 연습 문제가 추가로 제공된다	④ 코어 과정과 동일한 레슨 수로 구성되어 있다	2	④
q14	A	14	MC	sec2	코어 D과정의 콘텐츠 이용료 레벨별 레슨 개수가 올바르게 짝지어진 것은?	① L3: 20개 / L4: 28개 / L5: 36개	② L3: 24개 / L4: 32개 / L5: 40개	③ L3: 30개 / L4: 40개 / L5: 50개	④ L3: 36개 / L4: 48개 / L5: 60개	2	②
q15	A	15	OX	sec2	코어 D과정의 1회 수업 기준 진도 레슨 수는 2개이며, 코어 E과정은 3개이다.	O	X			1	O
q16	A	16	ESSAY	sec2	코어 과정(A~E)과 어드밴스드/엘리트 과정의 수업 프로세스 차이를 교재 활용(체크업북, 워크북)과 추가 학습 활동 측면에서 비교하여 설명하시오. (10점)					3	채점대기
q17	A	17	MC	sec3	콘텐츠 이용료의 학습 기간과 예비 기간으로 올바른 것은?	① 학습 기간 30일 + 예비 기간 5일	② 학습 기간 28일(4주) + 예비 기간 7일(1주)	③ 학습 기간 21일 + 예비 기간 14일	④ 학습 기간 35일 + 예비 기간 없음	2	②
q18	A	18	MC	sec3	누적 테스트가 자동으로 표시되는 시점은?	① 매 챕터의 마지막 레슨 완료 후	② 3n번 챕터의 진도 레슨 2개 완료 후	③ 3n+1번 챕터의 진도 레슨 3개 완료 후	④ 5개 챕터마다 1회	2	③
