id	set_id	number	type	section_id	text	option1	option2	option3	option4	points	answer	score_guide	last_modified
q1	A	1	MC	sec1	"깨봉수학의 교육 미션인 ""True Pleasure from True Learning""의 의미로 가장 적절한 것은?"	"스스로 개념을 깨닫는 '아하 모먼트'를 통해 성장하는 것이 진짜 배움이다"	"많은 문제를 풀어 높은 성적을 받을 때 진정한 기쁨을 느낀다"	"게임과 보상을 통해 학습 동기를 유발하는 것이다"	"선행학습을 통해 남보다 앞서 나가는 것이 진정한 즐거움이다"	2	"①"	""	2026-08-11 07:38:40
q2	A	2	MC	sec1	"깨봉수학이 지적하는 기존 수학 교육 방식의 문제점이 아닌 것은?"	"공식과 요령을 의미 없이 암기시키는 방식"	"비슷한 유형의 문제를 기계적으로 반복하는 방식"	"시각화를 통해 개념의 본질을 이해시키는 방식"	"기본 개념 이해 없이 학년만 앞서가는 무분별한 선행 학습"	2	"③"	""	2026-08-11 07:38:40
q3	A	3	MC	sec1	"깨봉수학 교수법 3원리 중 '언어화(Linguistic)'에 해당하는 사례로 가장 적절한 것은?"	"곱하기를 직사각형의 넓이로 시각화하여 보여주는 것"	"15²을 구할 때 ""10 곱하기 20에 5의 제곱을 더하면?""이라고 질문하는 것"	"원생에게 ""왜 이런 결과가 나왔는지 말로 설명해볼 수 있어요?""라고 묻는 것"	"""x − 6 = 0""을 ""x와 6은 차이가 없다, 고로 x는 6이다""로 해석하는 것"	2	"④"	""	2026-08-11 07:38:40
q4	A	4	MC	sec1	"깨봉수학의 교수법 3원리 중 '직관 → 논리(Intuition & Logic)'의 핵심 원리로 올바른 것은?"	"논리적 증명을 먼저 학습한 후 직관으로 확인한다"	"눈에 보이는 직관을 먼저 사용하면 논리는 자연스럽게 따라온다"	"직관과 논리를 동시에 병행하여 학습한다"	"논리적 사고만으로 모든 수학 문제를 해결할 수 있다"	2	"②"	""	2026-08-11 07:38:40
q5	A	5	MC	sec1	"수학적 사고 3가지 역량 중 '관계'에 해당하는 설명으로 가장 적절한 것은?"	"변화를 일으키는 요인과 변화의 결과가 무엇인지 찾아내는 것"	"문제의 핵심에 집중하기 위해 불필요한 디테일을 버리는 것"	"무엇이 얼마나 달라졌는지 발견하고 예측하는 것"	"수학 기호를 일종의 언어처럼 읽고 해석하는 것"	2	"①"	""	2026-08-11 07:38:40
q6	A	6	MC	sec1	"원생이 ""20,000 × 30,000""을 세로 곱셈으로 풀려고 합니다. 깨봉 코칭 방식에 가장 부합하는 대응은?"	"""2만 곱하기 3만이면… 만 곱하기 만은 뭘까요?""라고 질문한다"	"""세로셈으로 계산해보세요"""	"""6억이야. 0을 8개 붙이면 돼.""라고 답을 알려준다"	"""이건 계산기로 풀어봐.""라고 안내한다"	2	"①"	""	2026-08-11 07:38:40
q7	A	7	OX	sec1	"깨봉수학에서 원장의 핵심 역할은 수학을 가르치는 것이 아니라, 원생이 스스로 '아하 모먼트'를 경험하도록 코칭하는 것이다."	""	""	""	""	2	"O"	""	2026-08-11 07:38:40
q8	A	8	OX	sec1	"깨봉수학의 수학적 사고 3가지 역량은 '시각화, 언어화, 관계화'이다."	""	""	""	""	2	"X"	""	2026-08-11 07:38:40
q9	A	9	ESSAY	sec1	"깨봉수학 코칭 TIP의 3단계(방향 질문 → 연결 질문 → 확인 질문)를 각각 한 문장으로 설명하세요."	""	""	""	""	4	"- 방향: 원생이 어려움의 지점을 스스로 탐색하게 만드는 질문 (예: ""이 문제에서 뭘 묻고 있는 것 같아요?"")
- 연결: 이전 학습이나 경험과 현재 문제를 연결하는 질문 (예: ""전에 배운 것 중에 비슷한 게 있었나요?"")
- 확인: 원생의 이해를 확인하는 질문 (예: ""왜 이런 결과가 나오는지 말로 설명해볼 수 있어요?"")"	"- 완벽(4점): 3단계 모두 정확히 설명 + 예시 또는 구체적 설명 포함
- 충분(3점): 3단계 모두 방향은 맞으나 일부 설명이 추상적
- 보통(2점): 2단계만 정확하거나, 3단계 중 일부 부정확
- 부족(1점): 1단계만 언급하거나 전반적으로 부정확
- 오답(0점): 무응답 또는 관련 없는 내용"	2026-08-11 07:38:40
q10	A	10	ESSAY	sec1	"깨봉수학에서 원장이 '절대 하지 말아야 할 행동' 2가지를 쓰고, 각각 왜 하면 안 되는지 깨봉의 교육 철학과 연결해 설명하세요."	""	""	""	""	4	"- 정답·해설 제공: 바로 정답을 알려주거나 해설지를 쉽게 보여주는 것 → 문제 해결의 수준을 낮추어 스스로 깨닫는 기회를 빼앗는다.
- 기계적 반복·다그침: ""틀렸어, 다시 해봐""처럼 원인을 묻지 않고 반복시키거나 ""그것도 모르면 어떡해?""처럼 결과만 다그치는 것 → 원생의 사고 과정을 차단한다."	"- 완벽(4점): 2가지 행동을 정확히 제시 + 교육 철학(자기 주도, 아하 모먼트)과 연결하여 설명
- 충분(3점): 2가지 행동 제시, 이유 설명이 부분적
- 보통(2점): 1가지만 정확하게 설명
- 부족(1점): 행동은 언급했으나 이유 설명이 없거나 부정확
- 오답(0점): 무응답 또는 관련 없는 내용"	2026-08-11 07:38:40
